,title,content
0,捷運蓋到哪裡 都更就做到哪裡,導入大眾運輸導向(TOD)概念，以捷運場站為節點，打造捷運生活核心圈，創造車站場域多元發展，繁榮周邊商圈兼顧公益，回饋容積優先施作托育、托老、社宅重新檢討捷運站周邊土地使用機能，捷運就是新北的都市計畫
1,顧面子 要裡子─行政區主幹道 沿線都更,透過「提升基準容積」，進而「拉高改建效能」，保障原有生活空間主幹道沿街面，凡是臨接基地與毗臨地區，也將推動都市環境整建，讓建築更安全、市容更美觀
2,危老都更 當然是政府的事,政府主導、積極介入，確保市民遠離環境安全風險針對土壤液化、老舊危樓、道路狹窄等急迫區域優先進行增加老舊公寓裝設電梯誘因，守護高齡者居家安全
3,三環三線再升級,在三環三線基礎上，再推動五股泰山輕軌、深坑輕軌、淡海輕軌延伸八里工程機捷票價比照北捷，提高大眾軌道運輸運量
4,永續環境—拒絕深澳燃煤電廠,能源政策建構在國民的健康之上鼓勵產業智慧節能轉型升級全力扶助節能產業發展
5,營養午餐更營養,自立午餐普及化，1天有機蔬菜＋4天產銷履歷蔬菜，讓學生吃得安心健康擴大有機農業契作，打開有機農產通路結合有機農業，食農教育走出戶外
6,更多公托 安心托育,擴大公托規模，未來四年將倍增公共托育量提倡社區化托育持續推動公私立托育合作聯盟鼓勵企業自辦聯合托育，提高補助誘因
7,教育　讓下一代多元、好未來,升級校園網路環境，邁向「教室無邊界，學習無國界」毒品遠離校園，建構安全防制網絡；整合高關懷青少年與高風險家庭機制，市長親自督導社會安全網整合平台強化國中小職能探索，持續建置職業試探暨體驗教育中心增設公立幼兒園，更新優化幼兒園及國小遊戲器材，提供孩子安全、創意、多元的環境
8,全面推動污水下水道,接管率八年來從36%，至今超過90%，年底預計突破92萬戶未來積極提升下水道接管戶數，做到全市全面接管
9,打造高齡宜居城市,朝向全市「一里一銀髮俱樂部」的老人休閒據點為目標提供便利社區運動埸所，舉辦銀髮社區旅遊，加強銀髮族的二度就業，從源頭降低長照負擔打造「長照社區化」、「在地人照顧在地人」打造高齡無障礙生活空間:市府工程將以通用設計為標準規範;推動通用設計納入自治條例;推動以人為本的路平專案
10,提高公共運輸,打造路網串聯周邊城市社區，漸進解決塞車問題在捷運尚未完工前，與里長、社區管委會合作，加強推廣社區共乘機制增加快捷公車的班次、路線優先推出捷運先導公車，培養客群運量與搭乘習慣
11,鼓勵全民運動,目前新北市已有13座運動中心正式投入營運持續完成林口、新店及五股3座運動中心以及瑞芳1座運動公園開放公共空間，打造城市多元運動舞台
12,行銷農漁特產,鼓勵在地創生，農業、生態、觀光齊打拼，驅動農業創新引擎複製萬里蟹成功模式，加強行銷農漁產品鼓勵「吃當季、吃在地」，增加在地農產專櫃、假日農夫市集等通路
13,新北勞工我挺你,加強勞動檢查零工經濟協助方案擴大青年勞工參與式預算
14,青年創業 全力支持,鼓勵發展結合環保、智能、綠色等微型或文創產業捷運都更釋放公益空間，作為青年創客工坊推動「自造串聯平台」(MakerChain)，打造媒合自造者、新創團隊、製造商之間的產業鏈合作平台
15,住得起的社會住宅,捷運沿線都更釋出公益回饋空間，讓社會住宅遍地開花，同步達成「捷運宅」效果視市府財政狀況，增加新北市租金補助名額
16,健康政見,杜絕醫療暴力，保障醫事人員安全執業增加長照據點，照顧好安心，健康又平等落實分級醫療，醫院、診所聯合攜手打擊兒虐危害，維護家庭安全反轉衰弱2.0，新北健康好心情
17,青春山海線,以綠能旅遊串連新北海岸線，打造成最美的海岸觀光休閒品牌用電動車、電動機車、鐵路等大眾運輸的接駁，推行環保旅遊的觀念逐步在北海岸和東北角沿線公有停車場架設充電驛站，以每一個風景景點都有電動車充電站為目標針對各地的風景名勝推出APP，讓當地名人以錄音介紹在地故事，旅遊同時就聽見在地人聲音介紹在地故事。例如侯孝賢談九份、吳念真講礦工故事。
